year,eng,ita,spa,ger,fra
2023.0,40236.0,29551.0,29448.0,42997.0,23803.0
2022.0,39600.0,28857.0,29253.333333333332,42292.0,23377.333333333332
2021.0,39474.5,28163.0,29058.666666666668,41586.99999999999,22951.666666666668
2020.0,39349.0,27469.0,28864.0,40882.0,22526.0
2019.0,38181.0,25258.0,26885.0,43441.0,22836.0
2018.0,38317.0,24706.0,27068.0,44511.0,22548.0
2017.0,35822.0,22047.0,27590.0,41516.0,20963.0
2016.0,36461.0,22162.0,28568.0,43300.0,20896.0
2015.0,36176.0,22057.0,26835.0,43526.0,22250.0
2014.0,36657.0,23310.0,26955.0,43499.0,20953.0
2013.0,35921.0,23195.0,28237.0,42624.0,19211.0
2012.0,34600.0,22466.0,28796.0,45116.0,18870.0
2011.0,35283.0,24306.0,28221.0,42665.0,19742.0
2010.0,34151.0,24957.0,28286.0,42500.0,20089.0
2009.0,35596.0,25045.0,28276.0,42565.0,21050.0
2008.0,36076.0,23180.0,29124.0,39444.0,21841.0
2007.0,34363.0,18473.0,28838.0,39954.0,21940.0
2006.0,33885.0,21698.0,29029.0,40779.0,21552.0
2005.0,33893.0,25472.0,28401.0,37813.0,21294.0
2004.0,35021.0,25469.0,28823.0,37395.0,20178.0
2003.0,35464.0,25474.0,28593.0,34144.0,19846.0
2002.0,34470.0,26019.0,26193.0,33049.0,21755.0
2001.0,32906.0,29598.0,24408.0,30922.0,23160.0
2000.0,30757.0,29908.0,26984.0,31207.0,22314.0
