eng,ita,spa,ger,fra
78.09838752233094,79.43956316956465,77.08108835076965,76.10751005495217,76.22828566610015
80.24022073825063,80.06319200286886,75.98363184390705,79.8619171072711,76.39062444030141
78.99068854307463,79.44196136379965,77.2924628991474,76.73166583964,76.84739113274142
79.08323352429841,82.57066460563188,77.05156384283376,79.18777375679963,78.09259809239437
80.71594095113517,78.29440098637338,78.37121944577518,78.78747783741932,75.9750777811218
81.58842247994919,81.62481897251627,78.65682474446606,79.51827975649712,78.00495384378705
79.50290112348355,80.67221161677972,77.71529060077884,77.58604110027859,76.02237113494998
83.07635731449805,79.50624376267729,78.16030487406721,78.25080286713974,77.4217782087553
81.56597556389738,79.2357911828401,78.31551108323028,79.51020017515769,78.78708068939953
82.31058576622942,78.6735189509157,81.87238913615657,78.61099574738026,78.8977601256753
77.35998721940479,78.84146297774403,80.0137487978869,77.66226202490739,76.83213856772957
80.78127186699298,78.89575490343262,80.1917532488849,80.13094522185334,78.53431123982351
81.35577178202446,80.67773107072956,80.92135054649117,80.98294576331323,77.8091200703211
82.22291287742942,82.60443366723838,81.43661109284292,82.07532341181614,79.85446933398562
79.84798545680475,80.08795080701478,84.24729300873987,78.74621147465662,78.61931558825232
79.27945468748062,80.64108450821182,81.36307256675846,80.47434702485951,79.03657513011802
82.88992734220284,83.52466296000189,83.77177657307892,78.93948233561198,80.87836307647561
82.49468848794514,83.57430732414072,81.3813552339431,79.11362606168328,80.96862456040533
83.80088951113164,81.91504044135208,78.13975372501086,81.88795027124989,79.87833569258781
81.06499058947682,81.517351041975,79.82198976036821,80.907429727249,79.66192223839175
80.16524687543111,83.91869203138826,81.39129521995535,80.12498118637603,80.07629042887196
82.4676103813748,81.7939501518295,79.16820531660204,79.72435252717605,79.56039101808639
81.36332595176057,81.55079092922679,79.41865565122353,78.90358282304028,82.10561606373682
